type,key,value,translation
0,about_src,"Welcome to Risaala \n\nThis application was first developed as a means of mass communication with Engineers in the field.\n\n
        It takes emails and turns them into SMSs to be sent out to a collection of numbers, usually clients or engineers with jobs.\n\n
By having one email address and many numbers on this application, one can better communicate a standard job to many engineers who are in the field.
\n\n
We have found that this application has many uses.\n\n
- a pizza parlour that may send its delivery personnel orders. It may also choose to send its customers their order confirmation. \n\n
- Sales office may send instructions to its sales team as to which client to see, when, and where.\n\n
- general information to its client list.\n\n
- a free SMS service for your social network. One email that will be forwarded instantaneously to your members without them having to check their emails.
\n\n\n
We will be introducing many more functions and safeguards to this application and we hope you enjoy it.\n
\n\n
None of the users information is stored online by the developer and we have a policy of respecting privacy for it is our first duty and promise to users.
    ",
0,help_scr,"""<body><h2>Help</h2><br/>
<p>
For documetation and further help, please go to our website http://risaala.co.uk/risaala/</p><br/>

<p>If you cannot find the necessary help there, you can always email us at <a href='admin@risaala.co.uk' >admin@risaala.co.uk</a></p>
</body>""
",
0,tutorial_page1,Add the email address whose email you want to be read,
0,tutorial_page2,Enter the numbers you want your emails to be sent to,
0,tutorial_page3,"Switch on your internet.\n\n
        Risaala will read your email box and process them.\n\n
        It will then get all saved Phones associated with that email, synchronizing them.
    ",
0,tutorial_page4,Risaala will send that email to your stored phones via SMS.,
0,tutorial_scr,"
        Tutorial\n\n\n
To use Risaala,\n\n
- add the email address whose email you want to be read\n\n
- enter the numbers you want your emails to be sent to\n\n
- connect to the internet\n\n
- and let Risaala do its work.\n\n

To stop Risaala, remove the email or phones that you want to be stopped\n\n

We will be adding more functions that will allow you more control to you application.
    ",
0,tv_handle_edits,Handles,
0,tv_handle_edit_name,Name handle,
0,tv_handle_edit_phone,Phone handle,
0,tv_handle_edit_password,Password handle,
0,btn_setup_tutorial,Setup,
0,next,Next,
0,email_phones,Email-Phones,
1,radio_pattern_begin_end_contains,begin with...,
1,radio_pattern_begin_end_contains,ends with...,
1,radio_pattern_begin_end_contains,contains...,
1,password_change_dialogBox,Change,
1,password_change_dialogBox,Cancel,
1,password_change_dialogBox,Password changed successfully,
1,password_change_dialogBox,Unable to change password. Please try again making sure that your password is correct.,
1,upgrade_messages,Upgrade successful. We hope you enjoy this product,
1,upgrade_messages,Upgrade failed. Please try again.,
1,account_toast_prompts,Invalid values entered,
1,account_toast_prompts,"Account already exists. Please go to email list, find and edit this account.",
1,account_toast_prompts,There are no phones in the phone book. Insert phone to associate it with this email.,
1,array_SMS_text,Subject,
1,array_SMS_text,Email,
1,array_SMS_text,Email body is not in text format,
1,dialog_yes_no_delete,Are you sure you want to delete this account?,
1,dialog_yes_no_delete,Yes,
1,dialog_yes_no_delete,No,
1,server_array_strings,imap.googlemail.com,
1,server_array_strings,imap-mail.outlook.com,
1,server_array_strings,imap.mail.yahoo.com,
1,server_array_strings,Other,
1,array_hosts,Google/Gmail,
1,array_hosts,Hotmail/Outlook,
1,array_hosts,Yahoo,
1,array_hosts,Other,
1,array_errors,Risaala could not add new Phone entry as you do not have the authority to do so.,
1,array_errors,Unable to set email to READ status,
1,array_errors,Message is multimedia message.,
1,array_errors,Error reading email address.,
1,array_errors,Could not find valid name entry in phone book.,
1,array_errors,Risaala could not find your name in the phone book. Risaala could not find %1$s,
1,array_errors,Failed to use Phone/Name Handles,
1,array_error_solutions,"To activate auto-add, go to settings and check the box next to auto-add phones.",
1,array_error_solutions,Please check password and network status.,
1,array_error_solutions,Message must be plain text and not html when sending.,
1,array_error_solutions,Please check your settings and try again.,
1,array_error_solutions,Please check that you have spelt name correctly.,
1,array_error_solutions,"Please make sure that the name you are using as a handle is in the phone book.
            If not, you must first insert it into the phone book first.",
1,array_error_solutions,This feature can only be accessed if you are a premium user. Please upgrade first.,
1,allowed_blocked_status,Allowed,
1,allowed_blocked_status,Blocked,
1,imap_array,imap.googlemail.com,
1,imap_array,imap-mail.outlook.com,
1,imap_array,imap.mail.yahoo.com,
1,array_SSL,SSL/TLS,
1,handle_array,n::,
1,handle_array,t::,
1,handle_array,password#,
